	new_el	N_Z	N	Z	A	el	o	ME_keV	ME_unc_keV	BE_keV	BE_unc_keV	B	Q_keV	Q_unc_keV	mass_micro_u	mass_unc_micro_u	extrapol	mass_prec
3267	0.0	59	153	94	247	Pu	x	69210.0	200.0	7493.0	1.0	B-	2057.0	224.0	247074300.0	215.0	True	
3268		57	152	95	247	Am	+	67153.0	100.0	7499.0	0.0	B-	1620.0	100.0	247072092.0	107.0	True	
3269		55	151	96	247	Cm		65533.105	3.797	7501.9318	0.0154	B-	43.5841	6.3245	247070352.678	4.076	False	2.8859211780380947
3270		53	150	97	247	Bk	-a	65489.521	5.189	7498.9408	0.021	B-	-619.8711	15.2376	247070305.889	5.57	False	2.868341329123454
3271		51	149	98	247	Cf	+a	66109.392	14.327	7493.2638	0.058	B-	-2469.0006	24.1495	247070971.348	15.38	False	2.8089277767411462
3272		49	148	99	247	Es	+a	68578.393	19.441	7480.1005	0.0787	B-	-3094.0	182.0	247073621.929	20.87	False	2.790360133207001
3273		47	147	100	247	Fm	+a	71672.0	181.0	7464.0	1.0	B-	-4263.0	275.0	247076944.0	194.0	True	
3274		45	146	101	247	Md	-a	75936.0	207.0	7444.0	1.0	B-			247081520.0	223.0	True	
3275	0.0	58	153	95	248	Am	+	70563.0	200.0	7487.0	1.0	B-	3170.0	200.0	248075752.0	215.0	True	
3276		56	152	96	248	Cm		67392.748	2.358	7496.7291	0.0095	B-	-738.3049	50.0026	248072349.086	2.531	False	2.9123841700431257
3277		54	151	97	248	Bk	+a	68131.053	50.058	7490.5975	0.2018	B-	893.1015	50.3143	248073141.689	53.739	False	2.7307958915005734
3278		52	150	98	248	Cf	-a	67237.951	5.121	7491.044	0.0207	B-	-3061.0	53.0	248072182.905	5.497	False	2.8693199278744905
3279		50	149	99	248	Es	-a	70299.0	52.0	7476.0	0.0	B-	-1599.0	53.0	248075469.0	56.0	True	
3280		48	148	100	248	Fm		71897.793	8.497	7465.9451	0.0343	B-	-5050.0	184.0	248077185.451	9.122	False	2.8401633373391104
3281		46	147	101	248	Md	-a	76948.0	184.0	7442.0	1.0	B-	-3741.0	290.0	248082607.0	198.0	True	
3282		44	146	102	248	No	-a	80689.0	224.0	7424.0	1.0	B-			248086623.0	241.0	True	
3283	0.0	59	154	95	249	Am	x	73104.0	298.0	7479.0	1.0	B-	2353.0	298.0	249078480.0	320.0	True	
3284		57	153	96	249	Cm	-n	70750.696	2.371	7485.551	0.0095	B-	904.363	2.5934	249075953.992	2.545	False	2.912303804496635
3285		55	152	97	249	Bk	+	69846.333	1.248	7486.041	0.005	B-	123.6	0.4	249074983.118	1.339	False	2.94661248273255
3286		53	151	98	249	Cf		69722.733	1.182	7483.3954	0.0048	B-	-1452.0	30.0	249074850.428	1.269	False	2.949428344433495
3287		51	150	99	249	Es	-a	71175.0	30.0	7474.0	0.0	B-	-2344.0	31.0	249076409.0	32.0	True	
3288		49	149	100	249	Fm		73519.143	6.212	7461.8649	0.0249	B-	-3661.8091	164.5418	249078926.042	6.668	False	2.8585347638626506
3289		47	148	101	249	Md		77180.952	164.425	7444.0169	0.6603	B-	-4606.0	324.0	249082857.155	176.516	False	2.650412940980448
3290		45	147	102	249	No	-a	81787.0	279.0	7422.0	1.0	B-			249087802.0	300.0	True	
