el,A,Z_+,state,ME_keV,ME_unc_keV,Ex_keV,Ex_unc_keV,Ex_origin,t_1_2,t_1_2_unit,t_1_2_unc,JP,T,ensdf,ref,yr,decay,extrapol,Z,N,mass_prec,isolde_yields,isolde_yields_log
204Pt,204,783,p,-14430.0,200.0,3193.0,23.0,,146,ns,14,(10+),,10.0,,2009,IT=100,True,78,126,1.0439236303057078e-06,,
204Au,204,790,,-20390.0,200.0,,,,38.3,s,1.3,(2-),,10.0,,1972,B-=100,True,79,125,1.0438982028003685e-06,,
204Au,204,791,m,-16570.0,540.0,3816.0,500.0,,2.1,us,0.3,16+.0,,10.0,,2008,IT=100,True,79,125,2.8185813457202185e-06,,
204Hg,204,800,,-24690.1,0.5,,,,stbl,,,0+,,10.0,,1920,IS=6.82 4;2B- ?,False,80,124,2.6097045508283105e-09,,
204Hg,204,802,n,-17464.0,0.5,7226.08,0.17,,~485,ns,,22+,,,,2015,IT=100,False,80,124,2.609802982084794e-09,,
204Tl,204,810,,-24346.1,1.2,,,,3.783,y,0.012,2-*,,10.0,,1953,B-=97.08 7;EC+B+=2.92 7,False,81,123,6.26334444794975e-09,,
204Tl,204,811,m,-23242.0,1.2,1104.1,0.2,,61.7,us,1.0,7+,,10.0,,1972,IT=100,False,81,123,6.26338054255186e-09,,
204Tl,204,812,n,-22027.1,1.2,2319.0,0.3,,2.6,us,0.2,12-,,10.0,,1998,IT=100,False,81,123,6.2634202598445705e-09,,
204Tl,204,813,p,-19954.5,1.3,4391.6,0.5,,420,ns,30,18+,,10.0,,1998,IT=100,False,81,123,6.785445352913912e-09,,
204Tl,204,814,q,-18106.7,1.3,6239.4,0.5,,90,ns,3,22-,,10.0,,2011,IT=100,False,81,123,6.785510797317405e-09,,
204Pb,204,820,,-25109.8,1.1,,,,stbl,,>140Py,0+,,10.0,,1932,IS=1.4 6;A ?,False,82,122,5.7414149488064394e-09,4.50e+7,17.622173047734595
204Pb,204,821,m,-23835.7,1.1,1274.13,0.05,,265,ns,6,4+,,10.0,,1963,IT=100,False,82,122,5.741453130183712e-09,4.50e+7,17.622173047734595
204Pb,204,822,n,-22923.9,1.1,2185.88,0.08,,66.93,m,0.10,9-,,10.0,,1956,IT=100,False,82,122,5.741480454708474e-09,4.50e+7,17.622173047734595
204Pb,204,823,p,-22845.4,1.1,2264.42,0.06,,490,ns,70,7-,,10.0,,1978,IT=100,False,82,122,5.741482807183009e-09,4.50e+7,17.622173047734595
