el,A,Z_+,state,ME_keV,ME_unc_keV,Ex_keV,Ex_unc_keV,Ex_origin,t_1_2,t_1_2_unit,t_1_2_unc,JP,T,ensdf,ref,yr,decay,extrapol,Z,N,mass_prec,isolde_yields,isolde_yields_log
51Ar,51,180,,-6490.0,400.0,,,,30.0,ms,>200ns,1/2-.0,,16.0,,1989,B- ?;B-n ?;B-2n ?,True,18,33,8.350548255773195e-06,,
51K,51,190,,-22515.0,13.0,,,,365,ms,5,3/2+*,,16.0,,1983,B-=100;B-n=65 6;B-2n ?,False,19,32,2.71309378807832e-07,4.50e+3,8.411832675758411
51Ca,51,200,,-36332.3,0.5,,,,10.0,s,0.8,3/2-*,,16.0,,1980,B-=100;B-n ?,False,20,31,1.0432249382919283e-08,1.00e+4,9.210340371976184
51Sc,51,210,,-43250.4,2.5,,,,12.4,s,0.1,(7/2)-,,16.0,,1966,B-=100;B-n ?,False,21,30,5.2155126095525577e-08,,
51Ti,51,220,,-49733.0,0.5,,,,5.76,m,0.01,3/2-,,16.0,,1947,B-=100,False,22,29,1.0429896091453502e-08,,
51V,51,230,,-52203.11,0.1,,,,stbl,,,7/2-*,,16.0,,1924,IS=99.750 10,False,23,28,2.085928014312742e-09,,
51Cr,51,240,,-51450.71,0.17,,,,27.7015,d,0.0011,7/2-*,,16.0,,1940,EC=100,False,24,27,3.5462289508021507e-09,,
51Cr,51,248,i,-44838.0,5.0,6613.0,5.0,RQ,,,,7/2-,T=5/2,16.0,,9999,,False,24,27,1.0431524097393288e-07,,
51Mn,51,250,,-48243.2,0.3,,,,45.81,m,0.21,5/2-*,,16.0,,1938,B+=100,False,25,26,6.258638702837542e-09,6.00e+7,17.909855120186375
51Mn,51,258,i,-43792.6,1.5,4450.6,1.5,RQ,,,,7/2-,T=3/2,16.0,,9999,IT=100,False,25,26,3.129609932544388e-08,6.00e+7,17.909855120186375
51Fe,51,260,,-40189.2,1.4,,,,305.4,ms,2.3,5/2-,,16.0,,1972,B+=100,False,26,25,2.9212677238774814e-08,,
51Co,51,270,,-27340.0,50.0,,,,68.8,ms,1.9,7/2-,,16.0,,1987,B+=100;B+p<3.8,False,27,24,1.0436178739386713e-06,,
51Co,51,278,i,-20674.0,18.0,6670.0,50.0,p,,,,7/2-.0,T=5/2,,,9999,p=100,False,27,24,3.7575471530094447e-07,,
51Ni,51,280,,-11650.0,500.0,,,,23.8,ms,0.2,7/2-.0,,16.0,,1987,B+=100;B+p=87.2 8;B+2p=0.5 2,True,28,23,1.0439879490671337e-05,,
52Cl,52,170,,22360.0,700.0,,,,2.0,ms,>400ns,,,,,2018,B- ?;B-n ?;B-2n ?,True,17,35,1.4340425873555235e-05,,
52Ar,52,180,,-1380.0,600.0,,,,40.0,ms,>620ns,0+,,15.0,,2009,B- ?;B-n ?;B-2n ?,True,18,34,1.2286143826643011e-05,,
52K,52,190,,-17140.0,30.0,,,,110,ms,4,2-.0,,15.0,,1983,B-=100;B-n=72.2 9.3;B-2n=2.3 3,False,19,33,6.141252674081593e-07,5.60e+2,6.327936783729195
52Ca,52,200,,-34266.3,0.7,,,,4.6,s,0.3,0+,,15.0,,1985,B-=100;B-n<2,False,20,32,1.4324946654477632e-08,1.00e+2,4.605170185988092
52Sc,52,210,,-40524.0,3.0,,,,8.2,s,0.2,3(+),,15.0,,1980,B-=100;B-n ?,False,21,31,6.138639216146514e-08,1.30e+1,2.5649493574615367
52Ti,52,220,,-49477.7,2.7,,,,1.7,m,0.1,0+,,15.0,,1966,B-=100,False,22,30,5.5239094358468134e-08,,
52V,52,230,,-51443.03,0.16,,,,3.743,m,0.005,3+,,15.0,,1934,B-=100,False,23,29,3.2733828102273854e-09,,
52Cr,52,240,,-55419.51,0.11,,,,stbl,,,0+,,15.0,,1923,IS=83.789 18,False,24,28,2.2503271535660496e-09,,
52Cr,52,248,i,-44154.6,0.4,11264.9,0.4,,,,,3+,T=3,15.0,,9999,IT=100,False,24,28,8.184894057311119e-09,,
52Mn,52,250,,-50711.39,0.13,,,,5.591,d,0.003,6+*,,15.0,,1938,B+=100,False,25,27,2.659804102117724e-09,3.80e+8,19.755681810684706
52Mn,52,251,m,-50333.64,0.13,377.749,0.005,,21.1,m,0.2,2+*,,15.0,,1937,B+=98.22 5;IT=1.78 5,False,25,27,2.659824659309162e-09,3.80e+8,19.755681810684706
52Mn,52,258,i,-47785.0,5.0,2926.0,5.0,RQ,,,,0+,T=2,15.0,,9999,IT=100,False,25,27,1.0230628326341009e-07,3.80e+8,19.755681810684706
52Fe,52,260,,-48332.1,0.18,,,,8.275,h,0.008,0+,,15.0,,1948,B+=100,False,26,26,3.6830824339227634e-09,5.00e+4,10.819778284410283
52Fe,52,261,m,-41371.43,0.29,6960.7,0.3,MD,45.9,s,0.6,12+,,15.0,,1979,B+=99.979 5;IT=0.021 5,False,26,26,5.934700289419697e-09,5.00e+4,10.819778284410283
52Fe,52,268,i,-42677.6,0.4,5654.5,0.4,,,,,6+,T=1,15.0,,9999,IT=100,False,26,26,8.185574701460518e-09,5.00e+4,10.819778284410283
52Fe,52,269,j,-39776.0,6.0,8556.0,6.0,RQ,,,,0+  frg,T=2,15.0,,9999,,False,26,26,1.227909116201675e-07,5.00e+4,10.819778284410283
52Co,52,270,,-34344.0,5.0,,,,111.7,ms,2.1,6+,,15.0,,1987,B+=100;B+p ?,False,27,25,1.0233984522280705e-07,,
52Co,52,271,m,-33968.0,8.0,376.0,9.0,MD,102,ms,5,2+,,,,2016,B+~100;IT ?;B+p ?,False,27,25,1.63745012530962e-07,,
52Co,52,278,i,-31420.0,8.0,2924.0,9.0,IT,,,,0+,T=2,,,2016,IT=75 23;p=?,False,27,25,1.6375355273503496e-07,,
52Ni,52,280,,-22560.0,80.0,,,,41.8,ms,1.0,0+,,15.0,,1987,B+=100;B+p=31.1 5,False,28,24,1.6378759279737733e-06,,
52Cu,52,290,,-1880.0,600.0,,,,,,,3+.0,,,,9999,p ?,True,29,23,1.2289598180127575e-05,,
53Ar,53,180,,6790.0,700.0,,,,20.0,ms,>620ns,5/2-.0,,11.0,,2009,B- ?;B-n ?;B-2n ?,True,18,35,1.4065574466273726e-05,,
53K,53,190,,-12300.0,110.0,,,,30,ms,5,3/2+,,9.0,,1983,B-=100;B-n~64 11;B-2n~10 5,False,19,34,2.2095144355065347e-06,,
53Ca,53,200,,-29390.0,40.0,,,,461,ms,90,1/2-.0,,14.0,,1983,B-=100;B-n=40 10,False,20,33,8.032049380570289e-07,,
53Sc,53,210,,-38770.0,18.0,,,,2.4,s,0.6,(7/2-),,14.0,,1980,B-=100;B-n ?,False,21,32,3.613835402021999e-07,,
53Ti,53,220,,-46881.4,2.9,,,,32.7,s,0.9,(3/2)-,,9.0,,1977,B-=100,False,22,31,5.821493492387528e-08,,
53V,53,230,,-51852.0,3.0,,,,1.543,m,0.014,7/2-,,9.0,,1960,B-=100,False,23,30,6.021790131424023e-08,,
53Cr,53,240,,-55287.62,0.12,,,,stbl,,,3/2-*,,9.0,,1930,IS=9.501 17,False,24,29,2.4086124789687877e-09,,
53Mn,53,250,,-54690.3,0.3,,,,3.7,My,0.4,7/2-*,,9.0,,1955,EC=100,False,25,28,6.0217597156191564e-09,9.00e+8,20.617905321288585
53Mn,53,258,i,-47717.0,4.0,6973.0,4.0,RQ,,,,3/2-,T=5/2,9.0,,1976,,False,25,28,8.030136946801931e-08,9.00e+8,20.617905321288585
53Fe,53,260,,-50947.5,1.7,,,,8.51,m,0.02,7/2-,,9.0,,1938,B+=100,False,26,27,3.41267548581778e-08,3.00e+4,10.308952660644293
53Fe,53,261,m,-47907.1,1.7,3040.4,0.3,,2.54,m,0.02,19/2-,,9.0,,1967,IT=100,False,26,27,3.412883790146954e-08,3.00e+4,10.308952660644293
53Fe,53,268,i,-46698.0,3.0,4250.0,3.0,,,,,7/2-,T=3/2,9.0,,9999,,False,26,27,6.022882297500224e-08,3.00e+4,10.308952660644293
53Co,53,270,,-42659.4,1.7,,,,244.6,ms,2.8,7/2-.0,,9.0,,1970,B+=100,False,27,26,3.4133320165252477e-08,,
53Co,53,271,m,-39485.1,1.9,3174.3,0.9,MD,250,ms,10,(19/2-),,9.0,,1970,B+=?;p~1.5,False,27,26,3.815143647009513e-08,,
53Co,53,278,i,-38334.4,2.6,4325.0,2.0,IT,,,,(7/2-),T=3/2,9.0,,1976,IT~100;p<0.9 3,False,27,26,5.220843516702274e-08,,
53Ni,53,280,,-29631.0,25.0,,,,55.2,ms,0.7,(7/2-),,13.0,,1976,B+=100;B+p=22.7 7,False,28,25,5.021049748721361e-07,,
53Cu,53,290,,-13140.0,500.0,,,,,,<130ns,3/2-.0,,13.0,,9999,p ?,True,29,24,1.0045687657047113e-05,,
54Ar,54,180,,12560.0,800.0,,,,5.0,ms,>400ns,0+,,,,2018,B- ?;B-n ?;B-2n ?,True,18,36,1.577887711179261e-05,,
54K,54,190,,-5150.0,400.0,,,,10,ms,5,2-.0,,14.0,,1983,B-=100;B-n ?;B-2n ?,True,19,35,7.886884816296634e-06,,
54Ca,54,200,,-25160.0,50.0,,,,90,ms,6,0+,,14.0,,1997,B-=100;B-n ?;B-2n ?,False,20,34,9.854969137587893e-07,,
54Sc,54,210,,-34438.0,14.0,,,,526,ms,15,(3)+,,14.0,,1990,B-=100;B-n=16 9,False,21,33,2.7589571612782823e-07,,
54Sc,54,211,m,-34328.0,14.0,110.5,0.3,,2.77,us,0.02,"(5+,4+)",,14.0,,1998,IT=100,False,21,33,2.758963142026304e-07,,
54Ti,54,220,,-45744.0,16.0,,,,2.1,s,1.0,0+,,14.0,,1980,B-=100,False,22,32,3.1524718591369314e-07,7.00e+0,1.9459101490553132
54V,54,230,,-49898.0,11.0,,,,49.8,s,0.5,3+,,14.0,,1970,B-=100,False,23,31,2.167202251859726e-07,,
54V,54,231,m,-49790.0,11.0,108.0,1.0,,900,ns,500,(5)+,,14.0,,1998,IT=100,False,23,31,2.1672068632394002e-07,,
54Cr,54,240,,-56935.38,0.13,,,,stbl,,,0+,,14.0,,1930,IS=2.365 7,False,24,30,2.5609492066574876e-09,,
54Mn,54,250,,-55558.2,1.0,,,,312.081,d,0.032,3+*,,14.0,,1938,EC=100;B-=0.93e-4;e+=1.28e-7 25,False,25,29,1.9700645694535873e-08,1.10e+9,20.818576016750736
54Mn,54,258,i,-49411.9,2.8,6146.4,3.0,RQ,,,,0+,T=3,,,9999,,False,25,29,5.5168488080586197e-08,1.10e+9,20.818576016750736
54Fe,54,260,,-56254.6,0.3,,,,stbl,,,0+,,14.0,,1923,IS=5.845 105;2B+ ?,False,26,28,5.910263212777935e-09,,
54Fe,54,261,m,-49727.5,1.1,6527.1,1.1,,364,ns,7,10+,,14.0,,1983,IT=100,False,26,28,2.1673752132565245e-08,,
54Fe,54,269,j,-41387.0,20.0,14868.0,20.0,RQ,,,,0+,T=3,14.0,,9999,,False,26,28,3.9413299094941466e-07,,
54Co,54,270,,-48010.1,0.4,,,,193.27,ms,0.06,0+,T=1,14.0,,1952,B+=100,False,27,27,7.881831975491654e-09,,
54Co,54,271,m,-47812.5,0.4,197.57,0.1,MD,1.48,m,0.02,7+,T=0,14.0,,1962,B+=100,False,27,27,7.881862664509139e-09,,
54Ni,54,280,,-39278.0,5.0,,,,114.1,ms,0.3,0+,,14.0,,1977,B+=100;B+p ?,False,28,26,9.854236643594093e-08,,
54Ni,54,281,m,-32821.0,5.0,6457.4,0.9,,152,ns,4,10+,,14.0,,2008,IT=64 2;p=36 2,False,28,26,9.855490829822336e-08,,
54Cu,54,290,,-21240.0,400.0,,,,,,<75ns,3+.0,,14.0,,9999,p ?,True,29,25,7.886393960370625e-06,,
54Zn,54,300,,-5700.0,220.0,,,,1.8,ms,0.5,0+,,14.0,,2005,2p=87 7,True,30,24,4.338956716006404e-06,,
55K,55,190,,470.0,500.0,,,,10.0,ms,>620ns,3/2+.0,,9.0,,2009,B- ?;B-n ?;B-2n ?,True,19,36,9.680344415092148e-06,,
55Ca,55,200,,-18650.0,160.0,,,,22,ms,2,5/2-.0,,9.0,,1997,B-=100;B-n ?;B-2n ?,False,20,35,3.096641448636691e-06,,
55Sc,55,210,,-30840.0,60.0,,,,96,ms,2,(7/2)-,,8.0,,1990,B-=100;B-n=17 7;B-2n ?,False,21,34,1.16099569597542e-06,,
55Ti,55,220,,-41832.0,29.0,,,,1.3,s,0.1,(1/2)-,,10.0,,1980,B-=100;B-n ?,False,22,33,5.61042629679738e-07,,
55V,55,230,,-49125.0,27.0,,,,6.54,s,0.15,7/2-.0,,8.0,,1977,B-=100,False,23,32,5.222894116894251e-07,,
55Cr,55,240,,-55110.32,0.23,,,,3.497,m,0.003,3/2-,,8.0,,1952,B-=100,False,24,31,4.448728249787858e-09,2.10e+4,9.95227771670556
55Mn,55,250,,-57712.54,0.26,,,,stbl,,,5/2-*,,8.0,,1923,IS=100,False,25,30,5.028869836573884e-09,,
55Fe,55,260,,-57481.4,0.3,,,,2.7562,y,0.0004,3/2-,,9.0,,1939,EC=100,False,26,29,5.802713218217315e-09,,
55Fe,55,268,i,-49848.0,6.0,7633.0,6.0,RQ,,,,5/2-,T=5/2,9.0,,9999,,False,26,29,1.1607140208674657e-07,,
55Co,55,270,,-54030.0,0.4,,,,17.53,h,0.03,7/2-*,,9.0,,1938,B+=100,False,27,28,7.737661076856313e-09,5.70e+4,10.950806546816688
55Co,55,278,i,-49308.6,0.4,4721.44,0.1,,,,,3/2- frg,T=3/2,9.0,,1981,IT=100,False,27,28,7.738367833462833e-09,5.70e+4,10.950806546816688
55Ni,55,280,,-45336.0,0.7,,,,203.9,ms,1.3,7/2-,,8.0,,1972,B+=100,False,28,27,1.354352344558427e-08,,
55Ni,55,288,i,-40737.0,1.2,4599.0,1.0,,,,,7/2- frg,T=3/2,,,9999,,False,28,27,2.321953486010681e-08,,
55Cu,55,290,,-31640.0,160.0,,,,55.9,ms,1.5,3/2-.0,,8.0,,1987,B+=100;B+p=?,False,29,26,3.096560541449677e-06,,
55Zn,55,300,,-14270.0,400.0,,,,19.8,ms,1.3,5/2-.0,,8.0,,2001,B+=100;B+p=91.0 51,True,30,25,7.744198564852192e-06,,
56K,56,190,,7980.0,600.0,,,,5.0,ms,>620ns,2-.0,,11.0,,2009,B- ?;B-n ?;B-2n ?,True,19,37,1.1410508000130579e-05,,
56Ca,56,200,,-13510.0,250.0,,,,11,ms,2,0+,,11.0,,1997,B-=100;B-n ?;B-2n ?,False,20,36,4.75255292345271e-06,,
56Sc,56,210,,-25520.0,260.0,,,*,26,ms,6,(1+),,11.0,,1997,B-=100;B-n ?;B-2n ?,False,21,35,4.941648297554338e-06,,
56Sc,56,211,m,-25520.0,280.0,0.0,100.0,*,75,ms,6,"(6+,5+)",,11.0,,2004,B-=100;B-n>12;B-2n ?,True,21,35,5.321775089673902e-06,,
56Sc,56,212,n,-24750.0,260.0,775.0,0.1,,290,ns,17,(4+),,11.0,,2004,IT=100,False,21,35,4.941720619049987e-06,,
56Ti,56,220,,-39420.0,100.0,,,,200,ms,5,0+,,11.0,,1980,B-=100;B-n ?,False,22,34,1.9001786652361668e-06,,
56V,56,230,,-46180.0,180.0,,,,216,ms,4,(1+),,11.0,,1980,B-=100;B-n ?,False,23,33,3.419966343454717e-06,,
56Cr,56,240,,-55285.1,0.6,,,,5.94,m,0.10,0+,,11.0,,1960,B-=100,False,24,32,1.139819606703988e-08,,
56Mn,56,250,,-56911.67,0.29,,,,2.5789,h,0.0001,3+*,,11.0,,1934,B-=100,False,25,31,5.509093223681557e-09,1.10e+9,20.818576016750736
56Fe,56,260,,-60607.16,0.27,,,,stbl,,,0+,,11.0,,1923,IS=91.754 106,False,26,30,5.1289217094123226e-09,,
56Fe,56,268,i,-49103.5,0.4,11503.7,0.3,,,,,3+,T=3,11.0,,9999,,False,26,30,7.600063325647103e-09,,
56Co,56,270,,-56040.5,0.5,,,,77.236,d,0.026,4+*,,11.0,,1941,B+=100,False,27,29,9.499060567297784e-09,8.20e+5,13.617059619240436
56Co,56,278,i,-52448.0,9.0,3593.0,9.0,RQ,,,,(0+) frg,T=2,11.0,,9999,,False,27,29,1.7099476073205622e-07,8.20e+5,13.617059619240436
56Ni,56,280,,-53907.6,0.4,,,,6.075,d,0.010,0+,,11.0,,1952,B+=100,False,28,28,7.599743136146771e-09,3.60e+3,8.1886891244442
56Ni,56,283,p,-44172.1,1.9,9735.5,1.9,,,,,7,,11.0,,2008,p~100,False,28,28,3.610545826006396e-08,3.60e+3,8.1886891244442
56Ni,56,288,i,-47475.7,0.8,6431.9,0.7,,,,,4+,T=1,11.0,,9999,,False,28,28,1.52013439064609e-08,3.60e+3,8.1886891244442
56Ni,56,289,j,-43964.0,4.0,9944.0,4.0,RQ,,,,0+  frg,T=2,,,9999,,False,28,28,7.601179166228354e-08,3.60e+3,8.1886891244442
56Cu,56,290,,-38630.0,6.0,,,,80.8,ms,0.6,(4+),,11.0,,1987,B+=100;B+p=0.40 12,False,29,27,1.1403204855867278e-07,,
56Cu,56,298,i,-35099.0,10.0,3531.0,12.0,p,,,,,T=2,,,2007,IT=51 6;p=49 6,False,29,27,1.9006616919843757e-07,,
56Zn,56,300,,-25390.0,400.0,,,,32.4,ms,0.7,0+,,11.0,,2001,B+=100;B+p=88.0 23,True,30,26,7.604236944039597e-06,,
56Zn,56,308,i,-21530.0,650.0,3860.0,510.0,,,,,3+.0,T=3,,,9999,p ?,True,30,26,1.2357791859786322e-05,,
56Ga,56,310,,-3840.0,500.0,,,,,,,3+.0,,,,9999,p ?,True,31,25,9.509425793500947e-06,,
57K,57,190,,14130.0,600.0,,,,2.0,ms,>400ns,3/2+.0,,,,2018,B- ?;B-n ?;B-2n ?,True,19,38,1.1211490145496484e-05,,
57Ca,57,200,,-6560.0,400.0,,,,8.0,ms,>620ns,5/2-.0,,10.0,,2009,B- ?;B-n ?;B-2n ?,True,20,37,7.47161873089346e-06,,
57Sc,57,210,,-21380.0,180.0,,,,22,ms,2,7/2-.0,,10.0,,1997,B-=100;B-n ?;B-2n ?,False,21,36,3.361379125177271e-06,,
57Ti,57,220,,-34400.0,210.0,,,,95,ms,8,5/2-.0,,10.0,,1985,B-=100;B-n ?,False,22,35,3.920750383486622e-06,,
57V,57,230,,-44440.0,80.0,,,,350,ms,10,(7/2-),,10.0,,1980,B-=100;B-n ?,False,23,34,1.4933753219598752e-06,,
57Cr,57,240,,-52525.0,1.9,,,,21.1,s,1.0,(3/2)-,,10.0,,1978,B-=100,False,24,33,3.54631678278784e-08,,
57Mn,57,250,,-57486.3,1.5,,,,85.4,s,1.8,5/2-*,,98.0,,1954,B-=100,False,25,32,2.79953211438824e-08,1.50e+8,18.82614585206053
57Fe,57,260,,-60182.02,0.27,,,,stbl,,,1/2-*,,98.0,,1935,IS=2.119 29,False,26,31,5.039025916811729e-09,,
57Co,57,270,,-59345.7,0.5,,,,271.811,d,0.032,7/2-*,,98.0,,1941,EC=100,False,27,30,9.33190037968039e-09,1.00e+7,16.11809565095832
57Co,57,278,i,-52092.3,0.4,7253.3,0.6,RQ,,,,1/2-,T=5/2,,,9999,,False,27,30,7.466531092950346e-09,1.00e+7,16.11809565095832
57Ni,57,280,,-56084.0,0.6,,,,35.60,h,0.06,3/2-,,98.0,,1938,B+=100,False,28,29,1.119923254959617e-08,5.30e+6,15.483217378522351
57Ni,57,288,i,-50845.2,0.9,5238.8,0.7,,,,,7/2- frg,T=3/2,98.0,,9999,,False,28,29,1.6800491647575097e-08,5.30e+6,15.483217378522351
57Cu,57,290,,-47309.0,0.5,,,,196.4,ms,0.7,3/2-*,,98.0,,1976,B+=100,False,29,28,9.334448007851069e-09,3.00e+3,8.006367567650246
57Cu,57,298,i,-42010.0,25.0,5299.0,25.0,p,,,,7/2-,T=3/2,,,9999,,False,29,28,4.667685761647621e-07,3.00e+3,8.006367567650246
57Zn,57,300,,-32550.0,200.0,,,,45.7,ms,0.6,7/2-.0,,98.0,,1976,B+=100;B+p=87 9,True,30,27,3.7348984749892703e-06,,
57Ga,57,310,,-15410.0,400.0,,,,,,,1/2-.0,,,,9999,p ?,True,31,26,7.472369186971951e-06,,
58K,58,190,,21930.0,700.0,,,,2.0,ms,>400ns,2-.0,,,,2019,B- ?;B-n ?;B-2n ?,True,19,39,1.2856234533268793e-05,,
58Ca,58,200,,-1530.0,500.0,,,,4.0,ms,>620ns,0+,,10.0,,2009,B- ?;B-n ?;B-2n ?,True,20,38,9.17928764908575e-06,,
58Sc,58,210,,-15480.0,190.0,,,,12,ms,5,3+.0,,10.0,,1997,B-=100;B-n ?;B-2n ?,False,21,37,3.4873189988389215e-06,,
58Sc,58,211,m,-14060.0,190.0,1420.7,2.2,,0.60,us,0.13,,,,,2020,IT=100,False,21,37,3.4874098916246896e-06,,
58Ti,58,220,,-30920.0,180.0,,,,55,ms,6,0+,,14.0,,1992,B-=100;B-n ?,False,22,36,3.3029182832065576e-06,,
58V,58,230,,-40430.0,100.0,,,,191,ms,10,(1+),,10.0,,1980,B-=100;B-n ?,False,23,35,1.834677983490547e-06,,
58Cr,58,240,,-51991.8,3.0,,,,7.0,s,0.3,0+,,10.0,,1980,B-=100,False,24,34,5.502997222582262e-08,,
58Mn,58,250,,-55827.6,2.7,,,,3.0,s,0.1,1+*,,10.0,,1961,B-=100,False,25,33,4.952466530617724e-08,1.65e+7,16.61887093887081
58Mn,58,251,m,-55755.8,2.7,71.77,0.05,,65.4,s,0.5,4+*,,10.0,,1961,B-~100;IT ?,False,25,33,4.952473052971485e-08,1.65e+7,16.61887093887081
58Fe,58,260,,-62155.3,0.3,,,,stbl,,,0+,,10.0,,1935,IS=0.282 12,False,26,32,5.502232498402401e-09,,
58Co,58,270,,-59847.3,1.2,,,,70.844,d,0.020,2+*,,10.0,,1941,B+=100;e+=14.79 24;EC=85.21 24,False,27,31,2.2010383806455665e-08,,
58Co,58,271,m,-59822.4,1.2,24.95,0.06,,8.853,h,0.023,5+,,10.0,,1950,IT=99.99880 5;EC=0.00120 5,False,27,31,2.2010393858942905e-08,,
58Co,58,272,n,-59794.2,1.2,53.15,0.07,,10.5,us,0.3,4+,,10.0,,1964,IT=100,False,27,31,2.2010405243698582e-08,,
58Co,58,278,i,-54095.0,8.0,5752.0,8.0,RQ,,,,0+  frg,T=3,10.0,,9999,,False,27,31,1.4675137557654e-07,,
58Ni,58,280,,-60228.9,0.3,,,,stbl,,>700Ey,0+,,10.0,,1921,IS=68.0769 190;2B+ ?,False,28,30,5.502687972969381e-09,,
58Ni,58,288,i,-51400.0,40.0,8830.0,40.0,RQ,,,,2+,T=2,10.0,,9999,,False,28,30,7.338105646799109e-07,,
58Ni,58,289,j,-45690.0,7.0,14539.0,7.0,RQ,,,,0+,T=3,10.0,,9999,,False,28,30,1.284303020803926e-07,,
58Cu,58,290,,-51667.9,0.6,,,,3.204,s,0.007,1+*,T=0,10.0,,1952,B+=100,False,29,29,1.100736553886017e-08,3.00e+5,12.611537753638338
58Cu,58,298,i,-51464.9,0.6,202.99,0.24,,,,,0+,T=1,10.0,,9999,,False,29,29,1.1007406532188686e-08,3.00e+5,12.611537753638338
58Zn,58,300,,-42300.0,50.0,,,,86.0,ms,1.9,0+,,14.0,,1986,B+=100;B+p=0.7 1,False,30,28,9.174599046211247e-07,1.30e+1,2.5649493574615367
58Ga,58,310,,-23540.0,300.0,,,*,,,,2+.0,,,,9999,p ?,True,31,27,5.506785718740619e-06,,
58Ga,58,311,m,-23510.0,320.0,30.0,100.0,*,,,,5+.0,,,,9999,p ?,True,31,27,5.873908001291929e-06,,
58Ge,58,320,,-7580.0,500.0,,,,,,,0+,,,,9999,2p ?,True,32,26,9.180883796170236e-06,,
59K,59,190,,28750.0,800.0,,,,1.0,ms,>400ns,3/2+.0,,,,2018,B- ?;B-n ?;B-2n ?,True,19,40,1.444537788779184e-05,,
59Ca,59,200,,5810.0,600.0,,,,5.0,ms,>400ns,5/2-.0,,,,2018,B- ?;B-n ?;B-2n ?,True,20,39,1.0829800394857127e-05,,
59Sc,59,210,,-10830.0,250.0,,,,12.0,ms,>620ns,7/2-.0,,18.0,,2009,B- ?;B-n ?;B-2n ?,False,21,38,4.511167227738805e-06,,
59Ti,59,220,,-25880.0,300.0,,,,28.5,ms,1.9,5/2-.0,,18.0,,1997,B-=100;B-n ?;B-2n ?,True,22,37,5.412057213900385e-06,,
59Ti,59,221,m,-25770.0,300.0,108.5,0.5,,615,ns,11,1/2-.0,,18.0,,2012,IT=100,True,22,37,5.412067953721568e-06,,
59V,59,230,,-37610.0,140.0,,,,95,ms,6,(5/2-),,18.0,,1985,B-=100;B-n>3,False,23,36,2.5251512656665087e-06,,
59Cr,59,240,,-48115.9,0.7,,,,1050,ms,90,(1/2-),,18.0,,1980,B-=100,False,24,35,1.2623658715662264e-08,,
59Cr,59,241,m,-47613.2,1.3,502.7,1.1,,96,us,20,(9/2+),,18.0,,1998,IT=100,False,24,35,2.3444150149862422e-08,,
59Mn,59,250,,-55525.3,2.3,,,,4.59,s,0.05,5/2-*,,18.0,,1976,B-=100,False,25,34,4.14731614591455e-08,1.50e+8,18.82614585206053
59Fe,59,260,,-60665.0,0.3,,,,44.500,d,0.012,3/2-*,,18.0,,1938,B-=100,False,26,33,5.4091676355529245e-09,1.00e+8,18.420680743952367
59Co,59,270,,-62229.8,0.4,,,,stbl,,,7/2-*,,18.0,,1923,IS=100,False,27,32,7.212188212477426e-09,,
59Ni,59,280,,-61156.8,0.4,,,,81,ky,5,3/2-,,18.0,,1951,B+=100,False,28,31,7.2124959414487016e-09,6.00e+6,15.60727002719233
59Ni,59,288,i,-53814.9,2.1,7341.9,2.1,RQ,,,,7/2- frg,T=5/2,,,9999,,False,28,31,3.787061713971754e-08,6.00e+6,15.60727002719233
59Cu,59,290,,-56358.5,0.5,,,,81.5,s,0.5,3/2-*,,18.0,,1947,B+=100,False,29,30,9.016610308439559e-09,7.00e+6,15.761420707019587
59Cu,59,298,i,-52473.0,2.2,3885.5,2.1,,,,,3/2- frg,T=3/2,18.0,,9999,IT=100,False,29,30,3.9675865368791485e-08,7.00e+6,15.761420707019587
59Zn,59,300,,-47215.7,0.8,,,,178.7,ms,1.3,3/2-,,18.0,,1981,B+=100;B+p=0.10 2,False,30,29,1.4429292044092558e-08,5.80e+2,6.363028103540465
59Ga,59,310,,-33760.0,170.0,,,,,,<43ns,3/2-.0,,18.0,,9999,p ?,True,31,28,3.0670404615061638e-06,,
59Ge,59,320,,-16370.0,400.0,,,,13.3,ms,1.7,7/2-.0,,18.0,,2015,B+~100;B+p=93 7;2p<0.2,True,32,27,7.218999126835345e-06,,
60Ca,60,200,,11000.0,700.0,,,,2.0,ms,>400ns,0+,,,,2018,B- ?;B-n ?;B-2n ?,True,20,40,1.2425213839595158e-05,,
60Sc,60,210,,-4550.0,500.0,,,,10.0,ms,>620ns,3+.0,,,,2009,B- ?;B-n ?;B-2n ?,True,21,39,8.872907362804605e-06,,
60Ti,60,220,,-22100.0,240.0,,,,22.2,ms,1.6,0+,,14.0,,1997,B-=100;B-n ?;B-2n ?,False,22,38,4.257767220196871e-06,,
60V,60,230,,-33090.0,180.0,,,*,122,ms,18,3+.0,,13.0,,1985,B-=100;B-n ?;B-2n ?,False,23,37,3.1927761757823355e-06,,
60V,60,231,m,-33090.0,230.0,0.0,150.0,*,40,ms,15,1+.0,,13.0,,1999,B-=?;IT ?;B-n ?;B-2n ?,True,23,37,4.079658446832984e-06,,
60V,60,232,n,-32890.0,180.0,203.7,0.7,,230,ns,24,(4+),,13.0,,1999,IT=100,False,23,37,3.1927875022888593e-06,,
60Cr,60,240,,-46908.5,1.1,,,,490,ms,10,0+,,13.0,,1980,B-=100;B-n ?,False,24,36,1.9507076134873217e-08,,
